,Word,Count,Include,ProperNounRatio,ManuallyExcluded
540,pile,54,1,0.0,False
541,mark,54,1,0.42592592592592593,False
542,coal,54,1,0.0,False
543,',54,0,0.0,False
544,mister,54,0,0.9166666666666666,False
545,molly,54,1,0.9245283018867925,False
546,trunk,53,1,0.0,False
547,ground,53,1,0.0,False
548,blouse,53,1,0.0,False
549,soap,53,1,0.0,False
550,swing,53,1,0.0,False
551,soldier,53,1,0.018867924528301886,False
552,heidi,53,0,0.8867924528301887,False
553,spanner,53,1,0.03773584905660377,False
554,saucer,53,1,0.0,False
555,tom,53,1,0.9811320754716981,False
556,river,52,1,0.0,False
557,donkey,52,1,0.019230769230769232,False
558,trolley,52,1,0.0,False
559,hippopotamus,52,1,0.36538461538461536,False
560,pudding,52,1,0.0,False
561,beef,52,1,0.0,False
562,office,51,1,0.0,False
563,bobble,51,0,0.0196078431372549,False
564,tear,51,1,0.0,False
565,hay,51,1,0.0,False
566,n@l,51,0,0.21052631578947367,False
567,dustbin,51,1,0.11764705882352941,False
568,dungaree,50,1,0.0,False
569,crisp,50,1,0.02,False
570,seal,50,1,0.14,False
571,traffic,50,0,0.0,False
572,hill,50,1,0.02,False
573,martin,49,1,1.0,False
574,sofa,49,1,0.04081632653061224,False
575,wing,49,1,0.0,False
576,roller,49,1,0.061224489795918366,False
577,bell,49,1,0.08163265306122448,False
578,bang,49,1,0.061224489795918366,False
579,plenty,49,0,0.0,False
580,gorilla,49,1,0.0625,False
581,seesaw,49,1,0.16326530612244897,False
582,m@l,49,0,0.20689655172413793,False
583,smack,49,1,0.0,False
584,sally,49,0,0.9795918367346939,False
585,twin,48,1,0.0,False
586,jelly,48,1,0.2708333333333333,False
587,dragon,48,1,0.0,False
588,plier,48,1,0.0,False
589,ben,48,1,0.9375,False
590,pub,47,1,0.0,False
591,pencil,47,1,0.0,False
592,sleeve,47,1,0.0,False
593,handle,47,1,0.021739130434782608,False
594,vet,47,1,0.06382978723404255,False
595,salmon,47,1,0.0,False
596,pillow,47,1,0.0,False
597,stone,47,1,0.0,False
598,fishie,47,0,0.0,False
599,bank,47,1,0.0,False
600,tank,46,1,0.46808510638297873,False
601,postman,46,1,0.1935483870967742,False
602,shoulder,46,1,0.0,False
603,cooker,46,1,0.0,False
604,life,46,1,0.0,False
605,photo,46,1,0.0,False
606,froggie,46,0,0.7391304347826086,False
607,tongue,46,1,0.021739130434782608,False
608,piglet,46,1,0.08695652173913043,False
609,jam,46,1,0.08695652173913043,False
610,lump,45,1,0.0,False
611,ellie,45,0,1.0,False
612,welly,45,0,0.13333333333333333,False
613,purple,45,0,0.044444444444444446,False
614,bill,45,1,0.5192307692307693,False
615,cafe,45,1,0.06666666666666667,False
616,kangaroo,45,1,0.044444444444444446,False
617,racing,45,0,0.022222222222222223,False
618,church,45,1,0.0,False
619,snail,45,1,0.0,False
620,circus,45,1,0.0,False
621,orange+juice,45,0,0.0,False
622,cob,45,1,0.0,False
623,farmyard,45,1,0.044444444444444446,False
624,pattern,44,1,0.0,False
625,madam,44,1,0.20454545454545456,False
626,bib,44,1,0.045454545454545456,False
627,whistle,44,1,0.0,False
628,writing,44,1,0.0,False
629,shame,44,0,0.0,False
630,crown,44,1,0.022727272727272728,False
631,rubbish,43,1,0.023255813953488372,False
632,dot,43,1,0.022727272727272728,False
633,gap,43,1,0.023255813953488372,False
634,polly,43,0,0.5813953488372093,False
635,lollipop,43,1,0.0,False
636,yoghurt,43,1,0.11627906976744186,False
637,tub,43,1,0.0,False
638,short,43,1,0.0,False
639,moon,43,1,0.046511627906976744,False
640,humpty,43,0,1.0,False
641,goggins,43,0,1.0,False
642,e@l,43,0,0.375,False
643,weensie,43,0,0.1590909090909091,False
644,coloring,43,1,0.0,False
645,nest,43,1,0.09302325581395349,False
646,nicola,43,0,1.0,False
647,hour,42,0,0.0,False
648,suitcase,42,1,0.0,False
649,cloud,42,1,0.0,False
650,fault,42,1,0.0,False
651,badge,42,0,0.023809523809523808,False
652,starfish,42,1,0.0,False
653,cutter,42,1,0.0,False
654,inga,42,1,0.9761904761904762,False
655,motorbike,41,1,0.0,False
656,daniel,41,1,1.0,False
657,town,41,1,0.04878048780487805,False
658,rock,41,1,0.04878048780487805,False
659,heart,41,1,0.024390243902439025,False
660,cucumber,41,1,0.0,False
661,drive,41,1,0.17073170731707318,False
662,bump,41,0,0.024390243902439025,False
663,wood,41,1,0.05,False
664,play,41,0,0.04878048780487805,False
665,vroom,41,0,0.8780487804878049,False
666,train+set,41,0,0.024390243902439025,False
667,melon,41,1,0.24390243902439024,False
668,mood,41,0,0.0,False
669,mother,41,1,0.12195121951219512,False
670,jolly,41,1,0.9534883720930233,False
671,pussy+cat,41,0,0.024390243902439025,False
672,alistair,40,0,1.0,False
673,scissors,40,1,0.0,False
674,bicycle,40,1,0.0,False
675,bella,40,0,1.0,False
676,peepbo,40,0,0.975,False
677,ribena,40,0,0.6,False
678,macdonald,40,0,1.0,False
679,bobby,40,1,1.0,False
680,tender,40,1,0.075,False
681,beer,39,1,0.0,False
682,p,39,1,0.0,False
683,plaster,39,1,0.0,False
684,trick,39,1,0.0,False
685,glue,39,1,0.0,False
686,chin,39,1,0.0,False
687,knot,39,1,0.0,False
688,screwdriver,39,1,0.15384615384615385,False
689,ant,39,1,0.07692307692307693,False
690,eve,39,1,0.9743589743589743,False
691,hose,38,1,0.0,False
692,hold,38,1,0.0,False
693,pooh,38,0,0.9166666666666666,False
694,hug,38,0,0.0,False
695,beef+burger,38,0,0.21052631578947367,False
696,sweet,38,1,0.0,False
697,roundabout,38,1,0.02631578947368421,False
698,scarf,38,1,0.0,False
699,nanny,38,1,0.15789473684210525,False
700,eensie,38,0,0.21621621621621623,False
701,site,38,1,0.0,False
702,saucepan,38,1,0.0,False
703,bert,38,0,0.9736842105263158,False
704,creche,38,1,0.5789473684210527,False
705,asda,37,0,1.0,False
706,leaf,37,1,0.0,False
707,push+chair,37,0,0.0,False
708,london,37,1,1.0,False
709,macdonalds,37,0,1.0,False
710,toddler,37,1,0.0,False
711,shampoo,37,1,0.0,False
712,badger,37,1,0.6578947368421053,False
713,plant,37,1,0.0,False
714,gun,37,1,0.0,False
715,deer,37,1,0.0,False
716,hiccup,37,1,0.0,False
717,hoop,37,1,0.0,False
718,jesus,37,1,1.0,False
719,dump,37,1,0.0,False
720,order,36,0,0.0,False
721,alice,36,0,0.5,False
722,beginning,36,1,0.0,False
723,throat,36,1,0.0,False
724,reindeer,36,1,0.027777777777777776,False
725,friday,36,0,1.0,False
726,dear,36,1,0.3888888888888889,False
727,question,36,0,0.0,False
728,guard,36,1,0.05555555555555555,False
729,hut,36,1,0.027777777777777776,False
730,railway,36,1,0.0,False
731,poppy,36,1,0.8888888888888888,False
732,harry,36,0,1.0,False
733,monday,35,0,1.0,False
734,witch,35,1,0.3142857142857143,False
735,string,35,1,0.0,False
736,skirt,35,1,0.0,False
737,chris,35,0,1.0,False
738,skin,35,1,0.0,False
739,cockerel,35,1,0.0,False
740,woman,35,1,0.0,False
741,rat,35,1,0.0,False
742,lipstick,35,1,0.0,False
743,white,35,1,0.11428571428571428,False
744,foal,35,1,0.0,False
745,squirrel,35,1,0.0,False
746,dodie,35,0,0.08571428571428572,False
747,terence,35,1,0.9714285714285714,False
748,helmet,34,1,0.029411764705882353,False
749,bite,34,1,0.0,False
750,cutting,34,1,0.0,False
751,slice,34,1,0.0,False
752,cross,34,1,0.058823529411764705,False
753,straw,34,1,0.0,False
754,bedtime,34,0,0.0,False
755,jack,34,1,0.9090909090909091,False
756,amy,34,0,1.0,False
757,wednesday,34,0,0.9705882352941176,False
758,wave,34,1,0.0,False
759,tortoise,34,1,0.11764705882352941,False
760,black,34,1,0.058823529411764705,False
761,lip,34,1,0.0,False
762,wipe,34,0,0.0,False
763,pin,34,1,0.0,False
764,drum,34,1,0.0,False
765,reason,34,0,0.0,False
766,type,34,1,0.0,False
767,sss,34,0,0.9705882352941176,False
768,pantie,34,1,0.0,False
769,creature,34,1,0.0,False
770,mike,34,1,0.7941176470588235,False
771,blow,33,1,0.030303030303030304,False
772,caravan,33,1,0.030303030303030304,False
773,jill,33,0,1.0,False
774,magazine,33,1,0.030303030303030304,False
775,rory,33,0,1.0,False
776,tap,33,1,0.0,False
777,mole,33,1,0.42424242424242425,False
778,big,33,0,0.896551724137931,False
779,cornflake,33,0,0.0,False
780,splash,33,1,0.0,False
